Auto Gain Control OFF,IR PA (mA)=10,Red PA (mA)=10,Sample Rate (Hz)=100,Pulse Width (usec)=400,FIFO Almost Full=17,FIFO Rolls on Full=Checked,Sample Averaging=2
IR Count, Red Count, Green Count, X Axis Acceleration, Y Axis Acceleration, Z Axis Acceleration, Heart Rate, HR Confidence, SPO2, Algorithm Status
142675,46659,--,0.000,0.000,0.000,0.0,0,0.0,1
142649,46642,--,0.000,0.000,0.000,0.0,0,0.0,1
164075,65775,--,0.000,0.000,0.000,0.0,0,0.0,1
196859,98561,--,0.000,0.000,0.000,0.0,0,0.0,1
222996,131295,--,0.000,0.000,0.000,0.0,0,0.0,1
224577,164091,--,0.000,0.000,0.000,0.0,0,0.0,1
224544,196840,--,0.000,0.000,0.000,0.0,0,0.0,1
224553,227832,--,0.000,0.000,0.000,0.0,0,0.0,1
224566,233904,--,0.000,0.000,0.000,0.0,0,0.0,1
224570,233896,--,0.000,0.000,0.000,0.0,0,0.0,1
224589,233886,--,0.000,0.000,0.000,0.0,0,0.0,1
224615,233876,--,0.000,0.000,0.000,0.0,0,0.0,1
224643,233892,--,0.000,0.000,0.000,0.0,0,0.0,1
224597,233841,--,0.000,0.000,0.000,0.0,0,0.0,1
224481,233761,--,0.000,0.000,0.000,0.0,0,0.0,1
224339,233679,--,0.000,0.000,0.000,0.0,0,0.0,1
224244,233620,--,0.000,0.000,0.000,0.0,0,0.0,1
224199,233594,--,0.000,0.000,0.000,0.0,0,0.0,1
224183,233594,--,0.000,0.000,0.000,0.0,0,0.0,1
235270,233592,--,0.000,0.000,0.000,0.0,0,0.0,1
235092,233604,--,0.000,0.000,0.000,0.0,0,0.0,1
235119,233613,--,0.000,0.000,0.000,0.0,0,0.0,1
235158,233620,--,0.000,0.000,0.000,0.0,0,0.0,1
235135,233605,--,0.000,0.000,0.000,0.0,0,0.0,1
235117,233571,--,0.000,0.000,0.000,0.0,0,0.0,1
235124,233564,--,0.000,0.000,0.000,0.0,0,0.0,1
235170,233560,--,0.000,0.000,0.000,0.0,0,0.0,1
235207,233575,--,0.000,0.000,0.000,0.0,0,0.0,1
235239,233573,--,0.000,0.000,0.000,0.0,0,0.0,1
235253,233561,--,0.000,0.000,0.000,0.0,0,0.0,1
235232,233540,--,0.000,0.000,0.000,0.0,0,0.0,1
235205,233497,--,0.000,0.000,0.000,0.0,0,0.0,1
235182,233491,--,0.000,0.000,0.000,0.0,0,0.0,1
235198,233494,--,0.000,0.000,0.000,0.0,0,0.0,1
235218,233496,--,0.000,0.000,0.000,0.0,0,0.0,1
235211,233489,--,0.000,0.000,0.000,0.0,0,0.0,1
235215,233474,--,0.000,0.000,0.000,0.0,0,0.0,1
235204,233464,--,0.000,0.000,0.000,0.0,0,0.0,1
235232,233476,--,0.000,0.000,0.000,0.0,0,0.0,1
235287,233517,--,0.000,0.000,0.000,0.0,0,0.0,1
235315,233519,--,0.000,0.000,0.000,0.0,0,0.0,1
235353,233533,--,0.000,0.000,0.000,0.0,0,0.0,1
235419,233567,--,0.000,0.000,0.000,0.0,0,0.0,1
235577,233683,--,0.000,0.000,0.000,0.0,0,0.0,1
235740,233822,--,0.000,0.000,0.000,0.0,0,0.0,1
235850,233917,--,0.000,0.000,0.000,0.0,0,0.0,1
235847,233902,--,0.000,0.000,0.000,0.0,0,0.0,1
235750,233796,--,0.000,0.000,0.000,0.0,0,0.0,1
235651,233689,--,0.000,0.000,0.000,0.0,0,0.0,1
235579,233590,--,0.000,0.000,0.000,0.0,0,0.0,1
235529,233510,--,0.000,0.000,0.000,0.0,0,0.0,1
235489,233438,--,0.000,0.000,0.000,0.0,0,0.0,1
235423,233365,--,0.000,0.000,0.000,0.0,0,0.0,1
235302,233285,--,0.000,0.000,0.000,0.0,0,0.0,1
235178,233242,--,0.000,0.000,0.000,0.0,0,0.0,1
235097,233231,--,0.000,0.000,0.000,0.0,0,0.0,1
235075,233248,--,0.000,0.000,0.000,0.0,0,0.0,1
235081,233269,--,0.000,0.000,0.000,0.0,0,0.0,1
235147,233313,--,0.000,0.000,0.000,0.0,0,0.0,1
235241,233386,--,0.000,0.000,0.000,0.0,0,0.0,1
235324,233455,--,0.000,0.000,0.000,0.0,0,0.0,1
235391,233509,--,0.000,0.000,0.000,0.0,0,0.0,1
235407,233527,--,0.000,0.000,0.000,0.0,0,0.0,1
235400,233521,--,0.000,0.000,0.000,0.0,0,0.0,1
235416,233509,--,0.000,0.000,0.000,0.0,0,0.0,1
235395,233483,--,0.000,0.000,0.000,0.0,0,0.0,1
235365,233438,--,0.000,0.000,0.000,0.0,0,0.0,1
235354,233402,--,0.000,0.000,0.000,0.0,0,0.0,1
235341,233374,--,0.000,0.000,0.000,0.0,0,0.0,1
235317,233350,--,0.000,0.000,0.000,0.0,0,0.0,1
235306,233329,--,0.000,0.000,0.000,0.0,0,0.0,1
235315,233347,--,0.000,0.000,0.000,0.0,0,0.0,1
235314,233352,--,0.000,0.000,0.000,0.0,0,0.0,1
235351,233364,--,0.000,0.000,0.000,0.0,0,0.0,1
235378,233378,--,0.000,0.000,0.000,0.0,0,0.0,1
235416,233391,--,0.000,0.000,0.000,0.0,0,0.0,1
235470,233414,--,0.000,0.000,0.000,0.0,0,0.0,1
235505,233432,--,0.000,0.000,0.000,0.0,0,0.0,1
235533,233444,--,0.000,0.000,0.000,0.0,0,0.0,1
235571,233462,--,0.000,0.000,0.000,0.0,0,0.0,1
235592,233473,--,0.000,0.000,0.000,0.0,0,0.0,1
235598,233480,--,0.000,0.000,0.000,0.0,0,0.0,1
235597,233454,--,0.000,0.000,0.000,0.0,0,0.0,1
235577,233420,--,0.000,0.000,0.000,0.0,0,0.0,1
235569,233399,--,0.000,0.000,0.000,0.0,0,0.0,1
235559,233382,--,0.000,0.000,0.000,0.0,0,0.0,1
235552,233351,--,0.000,0.000,0.000,0.0,0,0.0,1
235553,233340,--,0.000,0.000,0.000,0.0,0,0.0,1
235539,233336,--,0.000,0.000,0.000,0.0,0,0.0,1
235503,233305,--,0.000,0.000,0.000,0.0,0,0.0,1
235535,233317,--,0.000,0.000,0.000,0.0,0,0.0,1
235549,233311,--,0.000,0.000,0.000,0.0,0,0.0,1
235541,233312,--,0.000,0.000,0.000,0.0,0,0.0,1
235487,233289,--,0.000,0.000,0.000,0.0,0,0.0,1
235391,233258,--,0.000,0.000,0.000,0.0,0,0.0,1
235334,233258,--,0.000,0.000,0.000,0.0,0,0.0,1
235338,233305,--,0.000,0.000,0.000,0.0,0,0.0,1
235403,233366,--,0.000,0.000,0.000,0.0,0,0.0,1
235510,233475,--,0.000,0.000,0.000,0.0,0,0.0,1
235599,233532,--,0.000,0.000,0.000,0.0,0,0.0,1
235631,233560,--,0.000,0.000,0.000,0.0,0,0.0,1
235627,233558,--,0.000,0.000,0.000,0.0,0,0.0,1
235623,233542,--,0.000,0.000,0.000,0.0,0,0.0,1
235631,233523,--,0.000,0.000,0.000,0.0,0,0.0,1
235620,233508,--,0.000,0.000,0.000,0.0,0,0.0,1
235628,233493,--,0.000,0.000,0.000,0.0,0,0.0,1
235629,233484,--,0.000,0.000,0.000,0.0,0,0.0,1
235614,233458,--,0.000,0.000,0.000,0.0,0,0.0,1
235588,233433,--,0.000,0.000,0.000,0.0,0,0.0,1
235551,233408,--,0.000,0.000,0.000,0.0,0,0.0,1
235520,233388,--,0.000,0.000,0.000,0.0,0,0.0,1
235493,233361,--,0.000,0.000,0.000,0.0,0,0.0,1
235479,233343,--,0.000,0.000,0.000,0.0,0,0.0,1
235493,233348,--,0.000,0.000,0.000,0.0,0,0.0,1
235491,233325,--,0.000,0.000,0.000,0.0,0,0.0,1
235497,233331,--,0.000,0.000,0.000,0.0,0,0.0,1
235505,233331,--,0.000,0.000,0.000,0.0,0,0.0,1
235528,233340,--,0.000,0.000,0.000,0.0,0,0.0,1
235541,233336,--,0.000,0.000,0.000,0.0,0,0.0,1
235551,233339,--,0.000,0.000,0.000,0.0,0,0.0,1
235568,233352,--,0.000,0.000,0.000,0.0,0,0.0,1
235591,233360,--,0.000,0.000,0.000,0.0,0,0.0,1
235599,233364,--,0.000,0.000,0.000,0.0,0,0.0,1
235596,233353,--,0.000,0.000,0.000,0.0,0,0.0,1
235595,233344,--,0.000,0.000,0.000,0.0,0,0.0,1
235583,233322,--,0.000,0.000,0.000,0.0,0,0.0,1
235605,233319,--,0.000,0.000,0.000,0.0,0,0.0,1
235621,233322,--,0.000,0.000,0.000,0.0,0,0.0,1
235613,233295,--,0.000,0.000,0.000,0.0,0,0.0,1
235608,233284,--,0.000,0.000,0.000,0.0,0,0.0,1
235554,233254,--,0.000,0.000,0.000,0.0,0,0.0,1
235476,233205,--,0.000,0.000,0.000,0.0,0,0.0,1
235373,233177,--,0.000,0.000,0.000,0.0,0,0.0,1
235304,233145,--,0.000,0.000,0.000,0.0,0,0.0,1
235281,233147,--,0.000,0.000,0.000,0.0,0,0.0,1
235316,233187,--,0.000,0.000,0.000,0.0,0,0.0,1
235387,233226,--,0.000,0.000,0.000,0.0,0,0.0,1
235463,233272,--,0.000,0.000,0.000,0.0,0,0.0,1
235495,233279,--,0.000,0.000,0.000,0.0,0,0.0,1
235504,233288,--,0.000,0.000,0.000,0.0,0,0.0,1
235512,233286,--,0.000,0.000,0.000,0.0,0,0.0,1
235510,233278,--,0.000,0.000,0.000,0.0,0,0.0,1
235519,233273,--,0.000,0.000,0.000,0.0,0,0.0,1
235542,233281,--,0.000,0.000,0.000,0.0,0,0.0,1
235551,233290,--,0.000,0.000,0.000,0.0,0,0.0,1
235557,233297,--,0.000,0.000,0.000,0.0,0,0.0,1
235562,233296,--,0.000,0.000,0.000,0.0,0,0.0,1
235549,233279,--,0.000,0.000,0.000,0.0,0,0.0,1
235539,233273,--,0.000,0.000,0.000,0.0,0,0.0,1
235519,233251,--,0.000,0.000,0.000,0.0,0,0.0,1
235506,233232,--,0.000,0.000,0.000,0.0,0,0.0,1
235507,233228,--,0.000,0.000,0.000,0.0,0,0.0,1
235519,233219,--,0.000,0.000,0.000,0.0,0,0.0,1
235532,233205,--,0.000,0.000,0.000,0.0,0,0.0,1
235538,233199,--,0.000,0.000,0.000,0.0,0,0.0,1
235562,233211,--,0.000,0.000,0.000,0.0,0,0.0,1
235589,233211,--,0.000,0.000,0.000,0.0,0,0.0,1
235631,233228,--,0.000,0.000,0.000,0.0,0,0.0,1
235644,233234,--,0.000,0.000,0.000,0.0,0,0.0,1
235671,233245,--,0.000,0.000,0.000,0.0,0,0.0,1
235693,233255,--,0.000,0.000,0.000,0.0,0,0.0,1
235690,233256,--,0.000,0.000,0.000,0.0,0,0.0,1
235685,233240,--,0.000,0.000,0.000,0.0,0,0.0,1
235666,233221,--,0.000,0.000,0.000,0.0,0,0.0,1
235677,233209,--,0.000,0.000,0.000,0.0,0,0.0,1
235699,233217,--,0.000,0.000,0.000,0.0,0,0.0,1
235723,233243,--,0.000,0.000,0.000,0.0,0,0.0,1
235746,233258,--,0.000,0.000,0.000,0.0,0,0.0,1
235722,233256,--,0.000,0.000,0.000,0.0,0,0.0,1
235610,233218,--,0.000,0.000,0.000,0.0,0,0.0,1
235487,233165,--,0.000,0.000,0.000,0.0,0,0.0,1
235387,233127,--,0.000,0.000,0.000,0.0,0,0.0,1
235329,233100,--,0.000,0.000,0.000,0.0,0,0.0,1
235311,233084,--,0.000,0.000,0.000,0.0,0,0.0,1
235313,233068,--,0.000,0.000,0.000,0.0,0,0.0,1
235325,233061,--,0.000,0.000,0.000,0.0,0,0.0,1
235346,233054,--,0.000,0.000,0.000,0.0,0,0.0,1
235361,233049,--,0.000,0.000,0.000,0.0,0,0.0,1
235339,233028,--,0.000,0.000,0.000,0.0,0,0.0,1
235340,233004,--,0.000,0.000,0.000,0.0,0,0.0,1
235348,233007,--,0.000,0.000,0.000,0.0,0,0.0,1
235360,233014,--,0.000,0.000,0.000,0.0,0,0.0,1
235368,233011,--,0.000,0.000,0.000,0.0,0,0.0,1
235375,233020,--,0.000,0.000,0.000,0.0,0,0.0,1
235379,233021,--,0.000,0.000,0.000,0.0,0,0.0,1
235377,233013,--,0.000,0.000,0.000,0.0,0,0.0,1
235366,233017,--,0.000,0.000,0.000,0.0,0,0.0,1
235368,233011,--,0.000,0.000,0.000,0.0,0,0.0,1
235374,233014,--,0.000,0.000,0.000,0.0,0,0.0,1
235396,233023,--,0.000,0.000,0.000,0.0,0,0.0,1
235402,233020,--,0.000,0.000,0.000,0.0,0,0.0,1
235429,233029,--,0.000,0.000,0.000,0.0,0,0.0,1
235439,233025,--,0.000,0.000,0.000,0.0,0,0.0,1
235467,233040,--,0.000,0.000,0.000,0.0,0,0.0,1
235476,233038,--,0.000,0.000,0.000,0.0,0,0.0,1
235477,233019,--,0.000,0.000,0.000,0.0,0,0.0,1
235464,232996,--,0.000,0.000,0.000,0.0,0,0.0,1
235475,232989,--,0.000,0.000,0.000,0.0,0,0.0,1
235474,232968,--,0.000,0.000,0.000,0.0,0,0.0,1
235481,232961,--,0.000,0.000,0.000,0.0,0,0.0,1
235489,232962,--,0.000,0.000,0.000,0.0,0,0.0,1
235504,232957,--,0.000,0.000,0.000,0.0,0,0.0,1
235512,232964,--,0.000,0.000,0.000,0.0,0,0.0,1
235531,232970,--,0.000,0.000,0.000,0.0,0,0.0,1
235544,232979,--,0.000,0.000,0.000,0.0,0,0.0,1
235496,232971,--,0.000,0.000,0.000,0.0,0,0.0,1
235404,232945,--,0.000,0.000,0.000,0.0,0,0.0,1
235315,232920,--,0.000,0.000,0.000,0.0,0,0.0,1
235250,232903,--,0.000,0.000,0.000,0.0,0,0.0,1
235211,232884,--,0.000,0.000,0.000,0.0,0,0.0,1
235195,232873,--,0.000,0.000,0.000,0.0,0,0.0,1
235184,232853,--,0.000,0.000,0.000,0.0,0,0.0,1
235176,232824,--,0.000,0.000,0.000,0.0,0,0.0,1
235166,232797,--,0.000,0.000,0.000,0.0,0,0.0,1
235177,232777,--,0.000,0.000,0.000,0.0,0,0.0,1
235156,232767,--,0.000,0.000,0.000,0.0,0,0.0,1
235165,232748,--,0.000,0.000,0.000,0.0,0,0.0,1
235169,232742,--,0.000,0.000,0.000,0.0,0,0.0,1
235199,232754,--,0.000,0.000,0.000,0.0,0,0.0,1
235207,232751,--,0.000,0.000,0.000,0.0,0,0.0,1
235211,232756,--,0.000,0.000,0.000,0.0,0,0.0,1
235217,232760,--,0.000,0.000,0.000,0.0,0,0.0,1
235220,232769,--,0.000,0.000,0.000,0.0,0,0.0,1
235223,232760,--,0.000,0.000,0.000,0.0,0,0.0,1
235205,232747,--,0.000,0.000,0.000,0.0,0,0.0,1
235204,232738,--,0.000,0.000,0.000,0.0,0,0.0,1
235182,232710,--,0.000,0.000,0.000,0.0,0,0.0,1
235181,232686,--,0.000,0.000,0.000,0.0,0,0.0,1
235179,232665,--,0.000,0.000,0.000,0.0,0,0.0,1
235184,232642,--,0.000,0.000,0.000,0.0,0,0.0,1
235189,232632,--,0.000,0.000,0.000,0.0,0,0.0,1
235196,232628,--,0.000,0.000,0.000,0.0,0,0.0,1
235207,232619,--,0.000,0.000,0.000,0.0,0,0.0,1
235217,232631,--,0.000,0.000,0.000,0.0,0,0.0,1
235220,232629,--,0.000,0.000,0.000,0.0,0,0.0,1
235256,232647,--,0.000,0.000,0.000,0.0,0,0.0,1
235292,232671,--,0.000,0.000,0.000,0.0,0,0.0,1
235297,232676,--,0.000,0.000,0.000,0.0,0,0.0,1
235312,232705,--,0.000,0.000,0.000,0.0,0,0.0,1
235306,232698,--,0.000,0.000,0.000,0.0,0,0.0,1
235302,232694,--,0.000,0.000,0.000,0.0,0,0.0,1
235236,232643,--,0.000,0.000,0.000,0.0,0,0.0,1
235127,232576,--,0.000,0.000,0.000,0.0,0,0.0,1
234973,232488,--,0.000,0.000,0.000,0.0,0,0.0,1
234863,232424,--,0.000,0.000,0.000,0.0,0,0.0,1
234778,232376,--,0.000,0.000,0.000,0.0,0,0.0,1
234756,232362,--,0.000,0.000,0.000,0.0,0,0.0,1
234785,232372,--,0.000,0.000,0.000,0.0,0,0.0,1
234825,232394,--,0.000,0.000,0.000,0.0,0,0.0,1
234861,232412,--,0.000,0.000,0.000,0.0,0,0.0,1
234895,232421,--,0.000,0.000,0.000,0.0,0,0.0,1
234930,232438,--,0.000,0.000,0.000,0.0,0,0.0,1
234954,232452,--,0.000,0.000,0.000,0.0,0,0.0,1
235009,232473,--,0.000,0.000,0.000,0.0,0,0.0,1
235049,232499,--,0.000,0.000,0.000,0.0,0,0.0,1
235073,232528,--,0.000,0.000,0.000,0.0,0,0.0,1
235080,232532,--,0.000,0.000,0.000,0.0,0,0.0,1
235077,232527,--,0.000,0.000,0.000,0.0,0,0.0,1
235054,232494,--,0.000,0.000,0.000,0.0,0,0.0,1
235034,232476,--,0.000,0.000,0.000,0.0,0,0.0,1
235026,232451,--,0.000,0.000,0.000,0.0,0,0.0,1
235024,232440,--,0.000,0.000,0.000,0.0,0,0.0,1
235032,232453,--,0.000,0.000,0.000,0.0,0,0.0,1
235053,232443,--,0.000,0.000,0.000,0.0,0,0.0,1
235069,232440,--,0.000,0.000,0.000,0.0,0,0.0,1
235105,232459,--,0.000,0.000,0.000,0.0,0,0.0,1
235167,232488,--,0.000,0.000,0.000,0.0,0,0.0,1
235212,232513,--,0.000,0.000,0.000,0.0,0,0.0,1
235233,232524,--,0.000,0.000,0.000,0.0,0,0.0,1
235239,232524,--,0.000,0.000,0.000,0.0,0,0.0,1
235235,232505,--,0.000,0.000,0.000,0.0,0,0.0,1
235234,232490,--,0.000,0.000,0.000,0.0,0,0.0,1
235223,232483,--,0.000,0.000,0.000,0.0,0,0.0,1
