Auto Gain Control OFF,IR PA (mA)=10,Red PA (mA)=10,Sample Rate (Hz)=100,Pulse Width (usec)=400,FIFO Almost Full=17,FIFO Rolls on Full=Not Checked,Sample Averaging=2
IR Count, Red Count, Green Count, X Axis Acceleration, Y Axis Acceleration, Z Axis Acceleration, Heart Rate, HR Confidence, SPO2, Algorithm Status
253585,215626,--,0.000,0.000,0.000,0.0,0,100.0,3
253596,215617,--,0.000,0.000,0.000,0.0,0,100.0,3
253612,215605,--,0.000,0.000,0.000,0.0,0,100.0,3
253626,215613,--,0.000,0.000,0.000,0.0,0,100.0,3
253635,215608,--,0.000,0.000,0.000,0.0,0,100.0,3
253643,215620,--,0.000,0.000,0.000,0.0,0,100.0,3
253660,215601,--,0.000,0.000,0.000,0.0,0,100.0,3
253654,215601,--,0.000,0.000,0.000,0.0,0,100.0,3
253645,215595,--,0.000,0.000,0.000,0.0,0,100.0,3
253669,215587,--,0.000,0.000,0.000,0.0,0,100.0,3
253682,215595,--,0.000,0.000,0.000,0.0,0,100.0,3
253700,215595,--,0.000,0.000,0.000,0.0,0,100.0,3
126859,107795,--,0.000,0.000,0.000,0.0,0,100.0,3
253739,215591,--,0.000,0.000,0.000,0.0,0,100.0,3
253775,215586,--,0.000,0.000,0.000,0.0,0,100.0,3
253788,215590,--,0.000,0.000,0.000,0.0,0,100.0,3
253773,215572,--,0.000,0.000,0.000,0.0,0,100.0,3
253658,215521,--,0.000,0.000,0.000,0.0,0,100.0,3
253397,215437,--,0.000,0.000,0.000,0.0,0,100.0,3
253075,215328,--,0.000,0.000,0.000,0.0,0,100.0,3
252835,215259,--,0.000,0.000,0.000,0.0,0,100.0,3
252748,215218,--,0.000,0.000,0.000,0.0,0,100.0,3
252761,215219,--,0.000,0.000,0.000,0.0,0,100.0,3
252853,215233,--,0.000,0.000,0.000,0.0,0,100.0,3
252962,215250,--,0.000,0.000,0.000,0.0,0,100.0,3
253072,215282,--,0.000,0.000,0.000,0.0,0,100.0,3
253173,215309,--,0.000,0.000,0.000,0.0,0,100.0,3
253226,215312,--,0.000,0.000,0.000,0.0,0,100.0,3
253283,215320,--,0.000,0.000,0.000,0.0,0,100.0,3
253329,215331,--,0.000,0.000,0.000,0.0,0,100.0,3
253375,215335,--,0.000,0.000,0.000,0.0,0,100.0,3
253379,215329,--,0.000,0.000,0.000,0.0,0,100.0,3
253373,215317,--,0.000,0.000,0.000,0.0,0,100.0,3
253373,215311,--,0.000,0.000,0.000,0.0,0,100.0,3
253371,215311,--,0.000,0.000,0.000,0.0,0,100.0,3
253369,215298,--,0.000,0.000,0.000,0.0,0,100.0,3
253373,215296,--,0.000,0.000,0.000,0.0,0,100.0,3
253386,215282,--,0.000,0.000,0.000,0.0,0,100.0,3
253421,215283,--,0.000,0.000,0.000,0.0,0,100.0,3
253479,215290,--,0.000,0.000,0.000,0.0,0,100.0,3
253551,215312,--,0.000,0.000,0.000,0.0,0,100.0,3
253599,215317,--,0.000,0.000,0.000,0.0,0,100.0,3
253624,215327,--,0.000,0.000,0.000,0.0,0,100.0,3
253668,215326,--,0.000,0.000,0.000,0.0,0,100.0,3
253712,215337,--,0.000,0.000,0.000,0.0,0,100.0,3
253732,215339,--,0.000,0.000,0.000,0.0,0,100.0,3
253757,215327,--,0.000,0.000,0.000,0.0,0,100.0,3
253781,215333,--,0.000,0.000,0.000,0.0,0,100.0,3
253784,215318,--,0.000,0.000,0.000,0.0,0,100.0,3
253796,215324,--,0.000,0.000,0.000,0.0,0,100.0,3
253824,215321,--,0.000,0.000,0.000,0.0,0,100.0,3
253839,215323,--,0.000,0.000,0.000,0.0,0,100.0,3
253851,215314,--,0.000,0.000,0.000,0.0,0,100.0,3
253856,215307,--,0.000,0.000,0.000,0.0,0,100.0,3
253873,215306,--,0.000,0.000,0.000,0.0,0,100.0,3
253888,215306,--,0.000,0.000,0.000,0.0,0,100.0,3
253920,215306,--,0.000,0.000,0.000,0.0,0,100.0,3
253934,215297,--,0.000,0.000,0.000,0.0,0,100.0,3
253938,215290,--,0.000,0.000,0.000,0.0,0,100.0,3
253899,215270,--,0.000,0.000,0.000,0.0,0,100.0,3
253739,215205,--,0.000,0.000,0.000,0.0,0,100.0,3
253440,215095,--,0.000,0.000,0.000,0.0,0,100.0,3
253152,215009,--,0.000,0.000,0.000,0.0,0,100.0,3
252951,214951,--,0.000,0.000,0.000,0.0,0,100.0,3
252897,214931,--,0.000,0.000,0.000,0.0,0,100.0,3
252953,214942,--,0.000,0.000,0.000,0.0,0,100.0,3
253063,214957,--,0.000,0.000,0.000,0.0,0,100.0,3
253186,214983,--,0.000,0.000,0.000,0.0,0,100.0,3
253287,215005,--,0.000,0.000,0.000,0.0,0,100.0,3
253348,215011,--,0.000,0.000,0.000,0.0,0,100.0,3
253397,215018,--,0.000,0.000,0.000,0.0,0,100.0,3
253455,215022,--,0.000,0.000,0.000,0.0,0,100.0,3
253518,215031,--,0.000,0.000,0.000,0.0,0,100.0,3
253536,215036,--,0.000,0.000,0.000,0.0,0,100.0,3
253520,215022,--,0.000,0.000,0.000,0.0,0,100.0,3
253474,214997,--,0.000,0.000,0.000,0.0,0,100.0,3
253423,214975,--,0.000,0.000,0.000,0.0,0,100.0,3
253408,214965,--,0.000,0.000,0.000,0.0,0,100.0,3
253404,214949,--,0.000,0.000,0.000,0.0,0,100.0,3
253436,214949,--,0.000,0.000,0.000,0.0,0,100.0,3
253490,214967,--,0.000,0.000,0.000,0.0,0,100.0,3
253532,214971,--,0.000,0.000,0.000,0.0,0,100.0,3
253575,214974,--,0.000,0.000,0.000,0.0,0,100.0,3
253608,214971,--,0.000,0.000,0.000,0.0,0,100.0,3
253658,214983,--,0.000,0.000,0.000,0.0,0,100.0,3
253680,214986,--,0.000,0.000,0.000,0.0,0,100.0,3
253702,214983,--,0.000,0.000,0.000,0.0,0,100.0,3
253737,214990,--,0.000,0.000,0.000,0.0,0,100.0,3
253763,214983,--,0.000,0.000,0.000,0.0,0,100.0,3
253804,214993,--,0.000,0.000,0.000,0.0,0,100.0,3
253827,214989,--,0.000,0.000,0.000,0.0,0,100.0,3
253868,215009,--,0.000,0.000,0.000,0.0,0,100.0,3
253905,215014,--,0.000,0.000,0.000,0.0,0,100.0,3
253923,215010,--,0.000,0.000,0.000,0.0,0,100.0,3
253928,215006,--,0.000,0.000,0.000,0.0,0,100.0,3
253957,215011,--,0.000,0.000,0.000,0.0,0,100.0,3
253973,215005,--,0.000,0.000,0.000,0.0,0,100.0,3
254015,215003,--,0.000,0.000,0.000,0.0,0,100.0,3
254047,215012,--,0.000,0.000,0.000,0.0,0,100.0,3
254080,215011,--,0.000,0.000,0.000,0.0,0,100.0,3
254116,215021,--,0.000,0.000,0.000,0.0,0,100.0,3
254076,215011,--,0.000,0.000,0.000,0.0,0,100.0,3
253907,214946,--,0.000,0.000,0.000,0.0,0,100.0,3
253611,214838,--,0.000,0.000,0.000,0.0,0,100.0,3
253347,214754,--,0.000,0.000,0.000,0.0,0,100.0,3
253192,214705,--,0.000,0.000,0.000,0.0,0,100.0,3
253160,214691,--,0.000,0.000,0.000,0.0,0,100.0,3
253211,214685,--,0.000,0.000,0.000,0.0,0,100.0,3
